1000.0            , 5.3009            , 2.9759            ,          

2000.0            , 5.7794            , 23.118            ,          

3000.0            , 26.535            , 78.335            ,          

4000.0            , 102.54            , 189.61            ,          

5000.0            , 216.45            , 377.59            ,          

6000.0            , 400.84            , 662.10            ,          

7000.0            , **********        , 1061.8            ,          

8000.0            , 994.25            , **********        ,          

9000.0            , 1440.8            , **********        ,          

