3000.0            , 33.916            , 991.72            ,          

3000.0            , 68.125            , 981.05            ,          

3000.0            , 136.15            , 982.63            ,          

3000.0            , 272.43            , 986.02            ,          

3000.0            , 546.95            , 1000.5            ,          

3000.0            , 1105.7            , **********        ,          

3000.0            , 1382.3            , **********        ,          

3000.0            , 1630.2            , **********        ,          

